Start Date,Last Buy Date,Sell Date,Total ETH Bought,Total Paid USD,Current Value of DCA Asset,ROI,Current Value of Hold Asset,ROI Hold
2023-01-23,2023-04-24,2023-05-01,0.8219993992678245,1400,1518.8082900271593,8.486306430511377,1592.2957600827303,13.735411434480739
2023-01-24,2023-04-25,2023-05-02,0.8174742231659641,1400,1513.994960272292,8.142497162306572,1625.0444984832911,16.074607034520795
2023-01-25,2023-04-26,2023-05-03,0.8149116091135102,1400,1532.5961141436876,9.4711510102634,1664.8325661389044,18.916611867064603
2023-01-26,2023-04-27,2023-05-04,0.8120362557051428,1400,1536.5756048580565,9.755400347004036,1649.1222609561753,17.79444721115538
2023-01-27,2023-04-28,2023-05-05,0.820169812403735,1400,1589.2266420984693,13.516188721319233,1704.9323746794712,21.780883905676514
2023-01-28,2023-04-29,2023-05-06,0.8186277478418327,1400,1591.47783202435,13.676988001739282,1717.1142866155642,22.6510204725403
2023-01-29,2023-04-30,2023-05-07,0.813246092936001,1400,1548.0464677473954,10.574747696242525,1653.8653923728552,18.133242312346802
2023-01-30,2023-05-01,2023-05-08,0.8145656105388747,1400,1508.8280260572628,7.77343043266163,1624.1616875227035,16.011549108764534
2023-01-31,2023-05-02,2023-05-09,0.8087948171949695,1400,1493.6741804474977,6.6910128891069816,1635.1956791216573,16.79969136583267
2023-02-01,2023-05-03,2023-05-10,0.8048532731479527,1400,1481.919992118205,5.851428008443219,1605.2671893585089,14.661942097036345
2023-02-02,2023-05-04,2023-05-11,0.8026323993377731,1400,1451.4081940464885,3.672013860463461,1513.3296271721392,8.094973369438515
2023-02-03,2023-05-05,2023-05-12,0.8089291101692707,1400,1437.7986897059636,2.69990640756883,1505.8603536545515,7.5614538324679685
2023-02-04,2023-05-06,2023-05-13,0.8069764678160414,1400,1454.389478650817,3.8849627607726394,1511.6634913787937,7.975963669913833
2023-02-05,2023-05-07,2023-05-14,0.8037200297524867,1400,1453.4151530032068,3.8153680716576286,1539.8910028709065,9.992214490779036
2023-02-06,2023-05-08,2023-05-15,0.8059215125699792,1400,1464.0531381648757,4.575224154633978,1557.878617107294,11.277044079092434
2023-02-07,2023-05-09,2023-05-16,0.7996981189424163,1400,1450.7323575734372,3.623739826674085,1544.5439783984966,10.324569885606902
2023-02-08,2023-05-10,2023-05-17,0.7968901495311117,1400,1443.2557187172915,3.089694194092252,1525.6958902461035,8.978277874721682
2023-02-09,2023-05-11,2023-05-18,0.7981558586066824,1400,1438.931345013299,2.7808103580927894,1581.2129982896986,12.94378559212133
2023-02-10,2023-05-12,2023-05-19,0.8046749123013236,1400,1457.918052856661,4.137003775475786,1658.862845632668,18.49020325947629
2023-02-11,2023-05-13,2023-05-20,0.8025509579479783,1400,1459.462993557137,4.247356682652643,1668.6604532882404,19.19003237773146
2023-02-12,2023-05-14,2023-05-21,0.7981944626691742,1400,1447.868881669495,3.419205833535362,1666.875832780881,19.06255948434864
2023-02-13,2023-05-15,2023-05-22,0.7997138059064545,1400,1447.4500001384463,3.389285724174735,1692.2517998103353,20.875128557881094
2023-02-14,2023-05-16,2023-05-23,0.7940068285584204,1400,1463.2116638040284,4.515118843144884,1686.6704584828813,20.476461320205804
2023-02-15,2023-05-17,2023-05-24,0.7919328151479313,1400,1439.4250041410314,2.816071724359387,1580.5402518028063,12.895732271629024
2023-02-16,2023-05-18,2023-05-25,0.790976114876237,1400,1415.5941332717039,1.1138666622645619,1486.5598319756507,6.182845141117907
2023-02-17,2023-05-19,2023-05-26,0.7944695357665456,1400,1444.4568417585872,3.175488697041942,1518.2978621874404,8.449847299102885
2023-02-18,2023-05-20,2023-05-27,0.7919984609434023,1400,1446.8544683898451,3.346747742131795,1509.3485355475689,7.810609681969205
2023-02-19,2023-05-21,2023-05-28,0.7876854796960998,1400,1473.4444583195243,5.246032737108878,1543.7359631697152,10.266854512122514
2023-02-20,2023-05-22,2023-05-29,0.7881803308253029,1400,1499.710124477845,7.1221517484175045,1578.2130352096403,12.729502514974309
2023-02-21,2023-05-23,2023-05-30,0.7828953465253375,1400,1487.6968822347726,6.264063016769472,1585.107904238712,13.221993159908005
