Start Date,First Sold Date,Last Sold Date,Total ETH Sold,Total Retrieved USD,Initial Investment,ROI,Hold Value at End,ROI Hold
2020-07-12,2020-07-19,2020-10-18,14,5091.91,3367.56,51.20472983406383,5227.04,55.217427454893155
2020-07-13,2020-07-20,2020-10-19,14,5138.22,3377.78,52.11825518535843,5299.139999999999,56.88233099846642
2020-07-14,2020-07-21,2020-10-20,14,5126.360000000001,3358.6,52.63383552670757,5238.52,55.973322217590685
2020-07-15,2020-07-22,2020-10-21,14,5100.280000000001,3349.5,52.269891028511736,5385.52,60.78578892371998
2020-07-16,2020-07-23,2020-10-22,14,5175.07,3294.34,57.08973572855259,5679.94,72.41511197994134
2020-07-17,2020-07-24,2020-10-23,14,5198.139999999999,3265.64,59.1767616761186,5754.28,76.20680785389695
2020-07-18,2020-07-25,2020-10-24,14,5236.75,3282.02,59.55874735681075,5771.22,75.84353538369663
2020-07-19,2020-07-26,2020-10-25,14,5266.94,3307.08,59.26255185843704,5757.5,74.0961815256964
2020-07-20,2020-07-27,2020-10-26,14,5298.54,3320.94,59.54940468662486,5565.42,67.5856835715189
2020-07-21,2020-07-28,2020-10-27,14,5285.62,3373.02,56.70289532822218,5602.66,66.1021873573237
2020-07-22,2020-07-29,2020-10-28,14,5242.610000000001,3538.22,48.17083166111777,5530.84,56.317018161674525
2020-07-23,2020-07-30,2020-10-29,14,5293.01,3770.48,40.38026988606226,5421.639999999999,43.79177186989453
2020-07-24,2020-07-31,2020-10-30,14,5303.7,3888.0800000000004,36.40923026275178,5365.92,38.00950597724326
2020-07-25,2020-08-01,2020-10-31,14,5331.02,4100.32,30.01473055761504,5420.099999999999,32.187243922425566
2020-07-26,2020-08-02,2020-11-01,14,5349.75,4316.62,23.933772256997376,5475.96,26.857587649596216
2020-07-27,2020-08-03,2020-11-02,14,5370.490000000001,4482.52,19.80961601956043,5489.82,22.471734649259773
2020-07-28,2020-08-04,2020-11-03,14,5349.22,4435.34,20.604508335324915,5325.740000000001,20.075123891291323
2020-07-29,2020-08-05,2020-11-04,14,5316.610000000001,4462.5,19.139719887955195,5498.5,23.215686274509803
2020-07-30,2020-08-06,2020-11-05,14,5373.21,4580.66,17.30209183829405,5703.46,24.51175158164981
2020-07-31,2020-08-07,2020-11-06,14,5399.31,4745.72,13.772198949790551,6084.259999999999,28.205203846834596
2020-08-01,2020-08-08,2020-11-07,14,5411.869999999999,5127.08,5.554623684436347,6258.98,22.076893670471296
2020-08-02,2020-08-09,2020-11-08,14,5411.030000000001,5378.66,0.601822758828422,6236.58,15.950441187953878
2020-08-03,2020-08-10,2020-11-09,14,5433.830000000001,5360.88,1.360784050379802,6247.639999999999,16.541314112608365
2020-08-04,2020-08-11,2020-11-10,14,5404.0599999999995,5485.759999999999,-1.4893105057457823,6253.52,13.995508370763599
2020-08-05,2020-08-12,2020-11-11,14,5381.9000000000015,5547.639999999999,-2.9875766992810995,6461.7,16.476555796699145
2020-08-06,2020-08-13,2020-11-12,14,5435.05,5572.56,-2.467627087012077,6438.32,15.536127022409795
2020-08-07,2020-08-14,2020-11-13,14,5482.48,5363.259999999999,2.2229017425968585,6527.639999999999,21.710303061943673
2020-08-08,2020-08-15,2020-11-14,14,5490.2699999999995,5399.38,1.6833414206816228,6496.98,20.32825991132314
2020-08-09,2020-08-16,2020-11-15,14,5468.870000000001,5498.92,-0.5464709433852333,6308.68,14.72580070268344
2020-08-10,2020-08-17,2020-11-16,14,5493.29,5532.94,-0.7166172053194078,6365.38,15.045165861187733
2020-08-11,2020-08-18,2020-11-17,14,5490.889999999999,5385.38,1.9591932231337306,6601.0,22.572594691553796
2020-08-12,2020-08-19,2020-11-18,14,5481.2,5314.68,3.133208396366282,6704.88,26.15773668405247
2020-08-13,2020-08-20,2020-11-19,14,5501.650000000001,5688.34,-3.281976815731823,6620.740000000001,16.3914252664222
2020-08-14,2020-08-21,2020-11-20,14,5541.14,6075.44,-8.794424765942868,6896.68,13.517374873260222
2020-08-15,2020-08-22,2020-11-21,14,5581.689999999999,6101.34,-8.516981515535955,7381.22,20.977031275096948
2020-08-16,2020-08-23,2020-11-22,14,5590.130000000001,5959.52,-6.198317985341091,7657.160000000001,28.48618680699117
2020-08-17,2020-08-24,2020-11-23,14,5641.2300000000005,6057.66,-6.8744366636621965,8128.82,34.19076012849846
2020-08-18,2020-08-25,2020-11-24,14,5672.26,5965.82,-4.920698244331869,8505.0,42.562128927791996
2020-08-19,2020-08-26,2020-11-25,14,5651.7300000000005,5765.900000000001,-1.9800898385334478,8153.32,41.40585164501637
2020-08-20,2020-08-27,2020-11-26,14,5620.84,5759.32,-2.404450525409242,7427.9800000000005,28.973212115319186
2020-08-21,2020-08-28,2020-11-27,14,5652.110000000001,5642.56,0.16924941870357038,7196.139999999999,27.533247320365206
2020-08-22,2020-08-29,2020-11-28,14,5720.139999999999,5454.96,4.861263877278649,7393.26,35.53279950723745
2020-08-23,2020-08-30,2020-11-29,14,5753.650000000001,5470.78,5.170560687872676,7760.0599999999995,41.845586918135986
2020-08-24,2020-08-31,2020-11-30,14,5835.27,5590.900000000001,4.370852635532739,8307.46,48.58895705521469
2020-08-25,2020-09-01,2020-12-01,14,5884.28,5480.16,7.374237248547486,8448.44,54.164111996730036
2020-08-26,2020-09-02,2020-12-02,14,5857.82,5394.06,8.59760551421377,8279.32,53.48957927794646
2020-08-27,2020-09-03,2020-12-03,14,5841.129999999998,5391.54,8.338804868367818,8475.6,57.2018384357716
2020-08-28,2020-09-04,2020-12-04,14,5856.72,5453.28,7.398116362996225,8317.82,52.52875333744096
2020-08-29,2020-09-05,2020-12-05,14,5900.660000000002,5590.62,5.545717648489823,8117.900000000001,45.20571958029701
2020-08-30,2020-09-06,2020-12-06,14,5935.11,5797.96,2.365487171349917,8338.4,43.81610083546626
2020-08-31,2020-09-07,2020-12-07,14,6000.27,6008.38,-0.13497814718775564,8318.38,38.44630332968286
2020-09-01,2020-09-08,2020-12-08,14,5998.24,6435.099999999999,-6.788705692219231,8030.54,24.792777113020787
2020-09-02,2020-09-09,2020-12-09,14,5960.56,6333.599999999999,-5.889857269167599,7771.96,22.70999115826703
2020-09-03,2020-09-10,2020-12-10,14,5987.99,5814.62,2.9816221868324995,7870.660000000001,35.35983434859029
2020-09-04,2020-09-11,2020-12-11,14,6018.790000000001,5418.28,11.083037421469564,7687.26,41.876388817115405
2020-09-05,2020-09-12,2020-12-12,14,6104.4800000000005,4976.58,22.664158920383084,7830.0599999999995,57.33817199763692
2020-09-06,2020-09-13,2020-12-13,14,6174.88,4751.599999999999,29.953699806381024,8108.379999999999,70.64525633470831
2020-09-07,2020-09-14,2020-12-14,14,6241.85,4791.22,30.276839719319927,8173.339999999999,70.58995412441924
2020-09-08,2020-09-15,2020-12-15,14,6244.49,4790.66,30.347175545749437,8238.16,71.9629445629621
2020-09-09,2020-09-16,2020-12-16,14,6224.240000000001,4839.240000000001,28.62019655979038,8530.76,76.28305271075621
2020-09-10,2020-09-17,2020-12-17,14,6275.03,5099.5,23.05186783017942,9118.06,78.80301990391214
2020-09-11,2020-09-18,2020-12-18,14,6300.21,5125.54,22.91797547185272,9065.42,76.86760809592745
2020-09-12,2020-09-19,2020-12-19,14,6384.480000000001,5287.66,20.74301297738511,9207.66,74.13487251449602
2020-09-13,2020-09-20,2020-12-20,14,6445.7,5203.099999999999,23.881916549749196,8994.58,72.86963540965964
2020-09-14,2020-09-21,2020-12-21,14,6494.66,5194.42,25.03147608395162,8733.76,68.13734738430854
2020-09-15,2020-09-22,2020-12-22,14,6484.24,5215.84,24.31823062057118,8572.34,64.35205067640112
2020-09-16,2020-09-23,2020-12-23,14,6458.250000000001,5106.22,26.4780992593347,8382.36,64.15978943327941
2020-09-17,2020-09-24,2020-12-24,14,6486.889999999999,5310.900000000001,22.14295128885874,8276.94,55.84816132858836
2020-09-18,2020-09-25,2020-12-25,14,6535.02,5382.02,21.423183117119592,8669.36,61.080040579559345
2020-09-19,2020-09-26,2020-12-26,14,6635.639999999999,5360.599999999999,23.785397157034662,8876.84,65.59414990859234
2020-09-20,2020-09-27,2020-12-27,14,6739.210000000001,5268.900000000001,27.905445159331176,9378.04,77.9885744652584
2020-09-21,2020-09-28,2020-12-28,14,6853.3,4982.599999999999,37.54465540079479,10003.56,100.76987917954483
2020-09-22,2020-09-29,2020-12-29,14,6857.559999999999,4784.22,43.33705389802305,10010.699999999999,109.24414011061361
2020-09-23,2020-09-30,2020-12-30,14,6864.08,4645.48,47.75825103110982,10327.1,122.3042613465132
2020-09-24,2020-10-01,2020-12-31,14,6892.299999999999,4690.0,46.95735607675904,10365.74,121.01791044776118
2020-09-25,2020-10-02,2021-01-01,14,6921.13,4877.46,41.90029236528849,10283.0,110.82694681248026
2020-09-26,2020-10-03,2021-01-02,14,7036.11,4927.72,42.78631902786683,10534.300000000001,113.77635092903007
2020-09-27,2020-10-04,2021-01-03,14,7272.360000000001,4982.740000000001,45.95102293115835,12446.84,149.79910651569216
2020-09-28,2020-10-05,2021-01-04,14,7525.56,5046.860000000001,49.113706344142685,14458.5,186.48506199894587
2020-09-29,2020-10-06,2021-01-05,14,7559.400000000001,4987.5,51.5669172932331,14813.259999999998,197.00771929824558
2020-09-30,2020-10-07,2021-01-06,14,7643.66,5001.5,52.82735179446166,15915.619999999999,218.2169349195241
2020-10-01,2020-10-08,2021-01-07,14,7759.4400000000005,5010.18,54.8734775996072,17150.14,242.305865258334
2020-10-02,2020-10-09,2021-01-08,14,7750.789999999999,4834.06,60.337066565164655,16449.3,240.27918561209412
2020-10-03,2020-10-10,2021-01-09,14,7931.19,4871.860000000001,62.79593420172169,17402.98,257.2142877668898
2020-10-04,2020-10-11,2021-01-10,14,8194.09,4894.259999999999,67.42244997200805,17798.48,263.6602877656684
2020-10-05,2020-10-12,2021-01-11,14,8266.38,4934.3,67.52893014206674,15305.779999999999,210.19151652716695
2020-10-06,2020-10-13,2021-01-12,14,8293.900000000001,4851.0,70.97299525870957,15134.0,211.97691197691196
2020-10-07,2020-10-14,2021-01-13,14,8369.6,4739.0,76.61109938805656,14902.16,214.45790251107832
2020-10-08,2020-10-15,2021-01-14,14,8584.12,4815.02,78.27797184643055,16360.539999999999,239.78135085627886
2020-10-09,2020-10-16,2021-01-15,14,8563.14,5015.639999999999,70.72876043735197,16388.539999999997,226.74872997264558
2020-10-10,2020-10-17,2021-01-16,14,8783.22,5205.34,68.7347992638329,17133.76,229.15736532099723
2020-10-11,2020-10-18,2021-01-17,14,9040.57,5229.56,72.87439096214594,17080.28,226.61026931520044
2020-10-12,2020-10-19,2021-01-18,14,9108.880000000001,5332.32,70.82395655174486,17127.32,221.19827767275783
2020-10-13,2020-10-20,2021-01-19,14,9255.830000000002,5340.72,73.3067826060906,18807.74,252.15738701897868
2020-10-14,2020-10-21,2021-01-20,14,9313.38,5330.360000000001,74.72328323040091,18543.28,247.88044334716596
2020-10-15,2020-10-22,2021-01-21,14,9448.42,5267.92,79.35769715561361,17368.12,229.69597108536192
2020-10-16,2020-10-23,2021-01-22,14,9350.97,5198.34,79.88377058830316,16227.960000000001,212.17580997010583
2020-10-17,2020-10-24,2021-01-23,14,9652.609999999999,5139.82,87.80054554439648,17311.28,236.8071255413614
2020-10-18,2020-10-25,2021-01-24,14,9977.4,5227.04,90.88049833175181,18342.66,250.91868437968716
2020-10-19,2020-10-26,2021-01-25,14,10116.75,5299.139999999999,90.91305381627964,19409.32,266.27301788592115
2020-10-20,2020-10-27,2021-01-26,14,10196.36,5238.52,94.64199812160686,18405.940000000002,251.3576353626597
2020-10-21,2020-10-28,2021-01-27,14,10220.390000000001,5385.52,89.77536059656263,18083.66,235.78298845793904
2020-10-22,2020-10-29,2021-01-28,14,10333.939999999999,5679.94,81.93748525512592,18077.22,218.26427743955045
2020-10-23,2020-10-30,2021-01-29,14,10300.56,5754.28,79.00693049347616,19048.539999999997,231.03255316043013
2020-10-24,2020-10-31,2021-01-30,14,10605.84,5771.22,83.77119569172548,19116.440000000002,231.23741600562795
2020-10-25,2020-11-01,2021-01-31,14,10899.86,5757.5,89.31584889274859,18671.940000000002,224.30638297872343
2020-10-26,2020-11-02,2021-02-01,14,11043.320000000002,5565.42,98.42743225129462,18537.399999999998,233.08177999144712
2020-10-27,2020-11-03,2021-02-02,14,11249.050000000003,5602.66,100.78052210914107,20340.32,263.047552412604
2020-10-28,2020-11-04,2021-02-03,14,11410.79,5530.84,106.31206109741017,22196.440000000002,301.3213182807675
2020-10-29,2020-11-05,2021-02-04,14,11572.2,5421.639999999999,113.44464036712142,22757.28,319.74900583587254
2020-10-30,2020-11-06,2021-02-05,14,11592.929999999998,5365.92,116.04738795956702,23459.100000000002,337.1869129618034
2020-10-31,2020-11-07,2021-02-06,14,11912.38,5420.099999999999,119.78155384587001,23711.66,337.47643032416386
2020-11-01,2020-11-08,2021-02-07,14,12104.61,5475.96,121.05000766988803,22342.460000000003,308.0099197218388
2020-11-02,2020-11-09,2021-02-08,14,12322.28,5489.82,124.45690386934365,23395.26,326.15714176421085
2020-11-03,2020-11-10,2021-02-09,14,12632.43,5325.740000000001,137.19576997750545,24693.059999999998,363.65500381167675
2020-11-04,2020-11-11,2021-02-10,14,12774.66,5498.5,132.32990815677002,24592.68,347.26161680458307
2020-11-05,2020-11-12,2021-02-11,14,12922.420000000002,5703.46,126.57158987702203,24606.539999999997,331.43179754044036
2020-11-06,2020-11-13,2021-02-12,14,12961.1,6084.259999999999,113.02672798335381,25238.64,314.81856462412856
2020-11-07,2020-11-14,2021-02-13,14,13286.42,6258.98,112.27771937280518,25495.539999999997,307.3433690473527
2020-11-08,2020-11-15,2021-02-14,14,13478.17,6236.58,116.11476161614218,25466.42,308.3395065885469
2020-11-09,2020-11-16,2021-02-15,14,13634.89,6247.639999999999,118.24064766855966,24624.18,294.13570564245066
2020-11-10,2020-11-17,2021-02-16,14,13962.83,6253.52,123.27952896928448,24879.12,297.8418554670009
2020-11-11,2020-11-18,2021-02-17,14,14108.300000000001,6461.7,118.33727966324655,25132.66,288.94810963059257
2020-11-12,2020-11-19,2021-02-18,14,14361.59,6438.32,123.06424657364035,26586.7,312.94468122118815
2020-11-13,2020-11-20,2021-02-19,14,14427.96,6527.639999999999,121.02873320219865,27063.68,314.6012954145756
2020-11-14,2020-11-21,2021-02-20,14,14755.76,6496.98,127.11721445964126,27067.74,316.6203374490918
2020-11-15,2020-11-22,2021-02-21,14,14959.86,6308.68,137.13138089108975,27052.34,328.8114153832497
2020-11-16,2020-11-23,2021-02-22,14,14938.760000000002,6365.38,134.68763844420917,24619.559999999998,286.7728242461565
2020-11-17,2020-11-24,2021-02-23,14,15071.46,6601.0,128.3208604756855,22121.82,235.12831389183458
2020-11-18,2020-11-25,2021-02-24,14,15240.380000000003,6704.88,127.302800348403,22554.0,236.38185918316208
2020-11-19,2020-11-26,2021-02-25,14,15456.32,6620.740000000001,133.45305811737052,21946.960000000003,231.48802097650716
2020-11-20,2020-11-27,2021-02-26,14,15418.84,6896.68,123.56902161619794,20769.0,201.14489870488404
2020-11-21,2020-11-28,2021-02-27,14,15707.890000000001,7381.22,112.80885815623978,20711.039999999997,180.59101340970727
2020-11-22,2020-11-29,2021-02-28,14,15797.349999999999,7657.160000000001,106.30821348907425,19382.02,153.1228288294877
2020-11-23,2020-11-30,2021-03-01,14,15850.19,8128.82,94.98758737430526,20888.84,156.97259872896683
2020-11-24,2020-12-01,2021-03-02,14,15993.429999999998,8505.0,88.04738389182832,21412.58,151.76460905349796
2020-11-25,2020-12-02,2021-03-03,14,16224.130000000001,8153.32,98.98801960428392,21925.82,168.91891891891893
2020-11-26,2020-12-03,2021-03-04,14,16492.78,7427.9800000000005,122.03586977886314,21938.42,195.3483988917579
2020-11-27,2020-12-04,2021-03-05,14,16404.21,7196.139999999999,127.95846106384812,20991.32,191.70249606038794
2020-11-28,2020-12-05,2021-03-06,14,16773.920000000002,7393.26,126.88124048119505,22317.68,201.86521236910374
2020-11-29,2020-12-06,2021-03-07,14,16926.800000000003,7760.0599999999995,118.12717942902509,23572.36,203.7651770733732
2020-11-30,2020-12-07,2021-03-08,14,17009.870000000003,8307.46,104.75416071819792,24542.98,195.43302044186794
2020-12-01,2020-12-08,2021-03-09,14,17226.13,8448.44,103.89716918152938,25706.24,204.27203128624933
2020-12-02,2020-12-09,2021-03-10,14,17452.9,8279.32,110.80112859510203,25482.100000000002,207.78010754506414
2020-12-03,2020-12-10,2021-03-11,14,17676.6,8475.6,108.5586861107178,25049.08,195.5434423521639
2020-12-04,2020-12-11,2021-03-12,14,17594.320000000003,8317.82,111.52561608690743,24979.36,200.31137966438322
2020-12-05,2020-12-12,2021-03-13,14,18029.71,8117.900000000001,122.09820273716106,25698.960000000003,216.57152711908253
2020-12-06,2020-12-13,2021-03-14,14,18219.15,8338.4,118.49695385205798,26431.3,216.98287441235732
2020-12-07,2020-12-14,2021-03-15,14,18235.100000000002,8318.38,119.21455860395899,25471.600000000002,206.20866082097717
2020-12-08,2020-12-15,2021-03-16,14,18421.08,8030.54,129.38781202758472,24759.84,208.32098464113247
2020-12-09,2020-12-16,2021-03-17,14,18692.260000000002,7771.96,140.50895784332397,25123.0,223.25179234067085
2020-12-10,2020-12-17,2021-03-18,14,18891.59,7870.660000000001,140.0254870620761,24880.52,216.11732688237072
2020-12-11,2020-12-18,2021-03-19,14,18839.060000000005,7687.26,145.06859401139033,25113.62,226.69143491959423
2020-12-12,2020-12-19,2021-03-20,14,19313.64,7830.0599999999995,146.66017884920424,25805.08,229.56426898389037
2020-12-13,2020-12-20,2021-03-21,14,19433.73,8108.379999999999,139.67463291064308,25112.5,209.7104477096535
2020-12-14,2020-12-21,2021-03-22,14,19394.420000000002,8173.339999999999,137.28879503360932,24403.82,198.57830458539593
2020-12-15,2020-12-22,2021-03-23,14,19526.46,8238.16,137.0245297493615,23713.48,187.84922846849298
2020-12-16,2020-12-23,2021-03-24,14,19738.53,8530.76,131.380674172055,23178.539999999997,171.70545180030848
2020-12-17,2020-12-24,2021-03-25,14,19833.44,9118.06,117.51820014345155,22303.960000000003,144.612998817731
2020-12-18,2020-12-25,2021-03-26,14,19840.360000000008,9065.42,118.85759291902644,23083.62,154.63376214229456
2020-12-19,2020-12-26,2021-03-27,14,20359.52,9207.66,121.1150281396142,23849.98,159.02324803478842
2020-12-20,2020-12-27,2021-03-28,14,20491.879999999997,8994.58,127.82475668680469,23808.68,164.70029729014587
2020-12-21,2020-12-28,2021-03-29,14,20531.030000000002,8733.76,135.0766451104679,24646.3,182.19575532187739
2020-12-22,2020-12-29,2021-03-30,14,20741.6,8572.34,141.95960496200567,25584.3,198.45176462902776
2020-12-23,2020-12-30,2021-03-31,14,21010.21,8382.36,150.64790822632287,26185.88,212.3926913184354
2020-12-24,2020-12-31,2021-04-01,14,21192.85,8276.94,156.04692072190926,27308.68,229.93690905092942
2020-12-25,2021-01-01,2021-04-02,14,21277.690000000002,8669.36,145.4355338802403,28791.980000000003,232.11194367288934
2020-12-26,2021-01-02,2021-04-03,14,21812.149999999998,8876.84,145.71976063554143,29213.66,229.09976973787968
2020-12-27,2021-01-03,2021-04-04,14,21880.75,9378.04,133.31900908931928,28822.22,207.3373540739856
2020-12-28,2021-01-04,2021-04-05,14,21903.18,10003.56,118.95385242853544,29213.66,192.0326363814482
2020-12-29,2021-01-05,2021-04-06,14,22130.97,10010.699999999999,121.07315172765145,29461.88,194.3038948325292
2020-12-30,2021-01-06,2021-04-07,14,22311.87,10327.1,116.0516505117603,28550.34,176.46038093946993
2020-12-31,2021-01-07,2021-04-08,14,22477.739999999998,10365.74,116.84645765762983,28354.2,173.5376345538283
2021-01-01,2021-01-08,2021-04-09,14,22622.210000000003,10283.0,119.99620733249054,29106.28,183.05241660993872
2021-01-02,2021-01-09,2021-04-10,14,23189.59,10534.300000000001,120.13413325992232,29818.46,183.0606684829556
