Start Date,Last Buy Date,Sell Date,Total ETH Bought,Total Paid USD,Current Value of DCA Asset,ROI,Current Value of Hold Asset,ROI Hold
2020-03-31,2020-06-30,2020-07-07,7.136548978294207,1400,1701.7101038742535,21.550721705303822,2510.755114320096,79.33965102286399
2020-04-01,2020-07-01,2020-07-08,7.087909202706553,1400,1724.8427044786395,23.203050319902818,2567.7570093457944,83.41121495327103
2020-04-02,2020-07-02,2020-07-09,6.985161586160765,1400,1701.5853623887624,21.541811599197313,2414.2715559960357,72.44796828543112
2020-04-03,2020-07-03,2020-07-10,6.957511986295125,1400,1668.4809494334338,19.1772106738167,2343.529247521988,67.39494625157057
2020-04-04,2020-07-04,2020-07-11,6.913305101540699,1400,1658.7092930126598,18.479235215189988,2353.0788091068302,68.07705779334502
2020-04-05,2020-07-05,2020-07-12,6.89658360048832,1400,1658.9042192614604,18.49315851867574,2336.6361365528724,66.90258118234803
2020-04-06,2020-07-06,2020-07-13,6.896412859658312,1400,1663.8975306497612,18.849823617840084,2159.567802570168,54.2548430407263
2020-04-07,2020-07-07,2020-07-14,6.803818212838706,1400,1632.2359892600057,16.588284947143265,1979.1396582203888,41.36711844431349
2020-04-08,2020-07-08,2020-07-15,6.745146864702562,1400,1613.776387380088,15.269741955720567,1983.71335504886,41.69381107491857
2020-04-09,2020-07-09,2020-07-16,6.68775613342911,1400,1573.6958957572037,12.406849696943125,1932.8444027223657,38.06031448016898
2020-04-10,2020-07-10,2020-07-17,6.676477224393742,1400,1557.355077362084,11.239648383006006,2004.320873994967,43.16577671392622
2020-04-11,2020-07-11,2020-07-18,6.629567937395552,1400,1554.1696115636394,11.012115111688527,2074.2084307653417,48.15774505466727
2020-04-12,2020-07-12,2020-07-19,6.618448649202263,1400,1563.4099399145587,11.672138565325618,2061.513526991647,47.25096621368906
2020-04-13,2020-07-13,2020-07-20,6.671540960786814,1400,1582.5562313082403,13.039730807731448,2126.354206684595,51.88244333461392
2020-04-14,2020-07-14,2020-07-21,6.6313833714701635,1400,1597.6991956883066,14.121371120593333,2129.297392841361,52.09267091724009
2020-04-15,2020-07-15,2020-07-22,6.570878061881586,1400,1660.658012579333,18.618429469952353,2257.0936463383514,61.22097473845367
2020-04-16,2020-07-16,2020-07-23,6.526010714704156,1400,1757.5852056841231,25.541800406008797,2330.9099901088034,66.49357072205738
